id,name_full
TOR,Toronto Blue Jays
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CAL,California Angels
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
DET,Detroit Tigers
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIN,Minnesota Twins
ML4,Milwaukee Brewers
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TEX,Texas Rangers
TOR,Toronto Blue Jays
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CAL,California Angels
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
DET,Detroit Tigers
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIN,Minnesota Twins
ML4,Milwaukee Brewers
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TEX,Texas Rangers
TOR,Toronto Blue Jays
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CAL,California Angels
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIN,Minnesota Twins
ML4,Milwaukee Brewers
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TEX,Texas Rangers
TOR,Toronto Blue Jays
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CAL,California Angels
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIN,Minnesota Twins
ML4,Milwaukee Brewers
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TEX,Texas Rangers
TOR,Toronto Blue Jays
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CAL,California Angels
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIN,Minnesota Twins
ML4,Milwaukee Brewers
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TEX,Texas Rangers
TOR,Toronto Blue Jays
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CAL,California Angels
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIN,Minnesota Twins
ML4,Milwaukee Brewers
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TEX,Texas Rangers
TOR,Toronto Blue Jays
ANA,Anaheim Angels
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIN,Minnesota Twins
ML4,Milwaukee Brewers
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TEX,Texas Rangers
TOR,Toronto Blue Jays
ANA,Anaheim Angels
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Devil Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
ANA,Anaheim Angels
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Devil Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
ANA,Anaheim Angels
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Devil Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
ANA,Anaheim Angels
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Devil Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
ANA,Anaheim Angels
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Devil Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
ANA,Anaheim Angels
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Devil Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
ANA,Anaheim Angels
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
MON,Montreal Expos
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Devil Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Devil Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WAS,Washington Nationals
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Devil Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WAS,Washington Nationals
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Devil Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WAS,Washington Nationals
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WAS,Washington Nationals
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WAS,Washington Nationals
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WAS,Washington Nationals
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
FLO,Florida Marlins
HOU,Houston Astros
KCA,Kansas City Royals
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WAS,Washington Nationals
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
HOU,Houston Astros
KCA,Kansas City Royals
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
MIA,Miami Marlins
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WAS,Washington Nationals
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
HOU,Houston Astros
KCA,Kansas City Royals
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
MIA,Miami Marlins
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WAS,Washington Nationals
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
HOU,Houston Astros
KCA,Kansas City Royals
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
MIA,Miami Marlins
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WAS,Washington Nationals
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
HOU,Houston Astros
KCA,Kansas City Royals
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
MIA,Miami Marlins
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WAS,Washington Nationals
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
COL,Colorado Rockies
DET,Detroit Tigers
HOU,Houston Astros
KCA,Kansas City Royals
LAA,Los Angeles Angels of Anaheim
LAN,Los Angeles Dodgers
MIA,Miami Marlins
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYA,New York Yankees
NYN,New York Mets
OAK,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDN,San Diego Padres
SEA,Seattle Mariners
SFN,San Francisco Giants
SLN,St. Louis Cardinals
TBA,Tampa Bay Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WAS,Washington Nationals
